name,fat,carbs,protein
sifted cake flour,1.041666667,79.16666667,7.291666667
skim milk,0,4.897959184,3.265306122
smoked salmon,9.411764706,0,21.17647059
snack cakes,11.9047619,64.28571429,2.380952381
sour cherries,0,9.016393443,0.819672131
sour cream,20.86956522,4.347826087,3.043478261
soy sauce,0,11.11111111,11.11111111
special k cereal,0,74.07407407,21.16402116
spinach,0,3.636363636,3.636363636
spinach souffle,13.23529412,2.205882353,8.088235294
stewed chicken,6.428571429,0,27.14285714
stick pretzels,0,66.66666667,0
strawberries,0.67114094,6.711409396,0.67114094
sugar cookie,25,64.58333333,4.166666667
sugar frosted flakes,0,91.71075838,3.527336861
summer squash,0.555555556,4.444444444,1.111111111
sunflower oil,100,0,0
sunflower seeds,49.38271605,17.6366843,21.16402116
sweet cherries,1.470588235,16.17647059,1.470588235
sweet dark chocolate,35.27336861,56.43738977,3.527336861
sweet peppers,0,5.405405405,1.351351351
sweet relish,0,33.33333333,0
sweetpotatoes,0,24.50331126,1.324503311
swiss cheese,28.21869489,3.527336861,28.21869489
table syrup,0,76.19047619,0
taco,13.58024691,18.51851852,11.11111111
tahini,53.33333333,20,20
tangerine juice,0,12.04819277,0.401606426
tangerines,0,10.71428571,1.19047619
tapioca pudding,3.521126761,19.71830986,2.112676056
tartar sauce,57.14285714,7.142857143,0
tea,0,0,0
thin chocolate syrup,0,57.89473684,2.631578947
toaste white bread,5.882352941,58.82352941,11.76470588
toasted rye bread,4.545454545,54.54545455,9.090909091
toaster pastries,11.11111111,70.37037037,3.703703704
tofu,4.166666667,2.5,7.5
tomato juice,0,4.098360656,0.819672131
tomato paste,0.763358779,18.70229008,3.816793893
tomato puree,0,10,1.6
tomato sauce,0,7.346938776,1.224489796
tomatoes,0,4.06504065,0.81300813
tortillas,3.333333333,43.33333333,6.666666667
total cereal,3.527336861,77.60141093,10.58201058
trix cereal,0,88.18342152,7.054673721
trout with butter,10.58823529,0,24.70588235
tuna salad,9.268292683,9.268292683,16.09756098
turkey breast loaf,2.380952381,0,23.80952381
turkey ham,5.263157895,0,19.29824561
turkey patties,18.75,15.625,14.0625
turnips,0,5.128205128,0.641025641
vanilla ice cream,10.52631579,24.06015038,3.759398496
vanilla ice milk,4.580152672,22.13740458,3.816793893
vanilla pudding,3.076923077,19.23076923,3.076923077
vanilla shake,3.180212014,17.66784452,3.886925795
vanilla wafers,17.5,72.5,5
veal cutlet,10.58823529,0,27.05882353
veal rib,16.47058824,0,27.05882353
vegetarian soup,0.829875519,4.979253112,0.829875519
vienna bread,4,52,8
vienna sausage,25,0,12.5
vinegar and oil salad dressing,50,0,0
waffles,17.33333333,34.66666667,9.333333333
watermelon,0.414937759,7.261410788,0.622406639
wheat bread,4,48,8
wheat flour,0.869565217,76.52173913,10.43478261
wheaties cereal,0,81.1287478,10.58201058
whipped topping,21.66666667,11.66666667,3.333333333
white bread,3.964757709,48.89867841,8.370044053
white cake,12.67605634,59.15492958,4.225352113
white sauce,12,9.6,4
white sugar,0,100,0
white wine,0,2.941176471,0
whole eggs,10,2,12
whole milk,3.278688525,4.508196721,3.278688525
whole yogurt,3.083700441,4.845814978,3.524229075
whole-wheat,1.666666667,70.83333333,13.33333333
whole-wheat bread,3.571428571,46.42857143,10.71428571
whole-wheat crackers,25,62.5,12.5
winter squash,0.487804878,8.780487805,0.975609756
yellow cake,11.5942029,57.97101449,4.347826087
yellow snap bean,0,8,1.6
pasta carbonara,13.0,45.0,13.0
pasta amatriciana,14.0,40.0,15.0
